Part Number,進貨價
1080757,0
1080758_B,1665
1143320,0
1080759,0
1064736,0
1064747,0
1099560,0
1109061,29
1064752,0
1099563,0
1074113,0
1115532,3270
1115533,3270
1115534,3270
1115536,0
1115537,0
1068963,3270
1068961,0
1083253,0
1099578,0
1091398,1200
1091399,0
1064748,0
1103210,0
1099564,0
1099591,0
1099592,0
1080760,29
1064766,
1103402,0
1100750,0
1100578,0
1099579,0
1099567,0
1099580,0
1099566,0
1099565,0
1040889,0
1099581,0
1064787,0
332353,0
312710,0
1099562,0
1099561,0
1064803,0
1064804,0
1099588,0
1099589,303
1099585,45
1064807,0
1099586,0
1099582,0
1099587,0
1064804,0
1099578,0
1064798,0
1099590,0
1035443,0
1029330,0
1035442,0
1029331,0
1061644A,0
1063857,0
1063859,0
1114784,0
1032907,0
SYS1HT15,0
INX500T15,23000
1115485,17.98
1115542,17.98
1115486,314.65
1115538,973.4
1133830,
1121520,6207.75
1121522,6207.75
1121523,6207.75
1121525,6207.75
1121526,6207.75
1121527,5.58
1115484,10.85
1115481,194.68
1121548,230.33
1151316B,230.33
1121550,1868.68
1121552,40.3
1121549,1868.68
1121551,40.3
1121553,27.28
1121554,613.8
1121555,5.58
1115543,66.03
1121559,14.88
1130435,412.3
1151266,0
1151317,0
1151338,0
1152522,114.7
1152526,114.7
1152268,114.7
1152530,114.7
1152261,114.7
1118499,2861.61
1144267,2861.61
1120136,3100
1127194,0
1127195,0
1127196,0
1127197,0
1127238,0
1038928,597.68
PR15,1025.48
PR12,1208.69
HT15,2098.39
1120668,932.48
1120613,248
1120873,1614.48
1120617,372
1121569,20.15
1120614,96.1
1121570,48.05
1120616,45.88
1122522,15.5
1120669,10.85
1120615,27.9
1126545,25.73
1126543,12.4
EUXH,1457
1032907,644.8
1122520,1430.65
1121568,119.35
1128163,0
1122446,93
1122447,62
1122518,111.6
1122519,279
1121694,7244.39
ZZZ-100,0
ZZZ-101,0
ZZZ-102,0
ZZZ-103,0
ZZZ-104,0
ZZZ-099,0
ZZZZ-0023,0
ZZZ-021,0
ZZZ-010,0
ZZZZ-010,0
ZZZZ-0031,0
100600C,0
100605C,0
100700W,0
100705W,0
1040889,0
1133830,85.25
1120293,1791.8
1122135,0
1121162,0
1126942,17949
1126944,0
1139752,0
1126240,1736
INXH,620
1037268,155
1008198,155
1127131,465
1063859,2418
1145085,2418
1133905,2701.03
1133915,6207.75
1133916,6207.75
1133907,511.5
1133904,227.23
1133914,2786.9
1133903,41.85
1133902,27.9
1133912,26.35
1133900,93
1133901,42.78
1115484,10.85
1133910,63.55
1133913,13.33
1133906,3271.43
1133899,165.23
1133911,214.83
1133866,279
1135283,73.78
1133743,216.38
1133744,595.2
1133908,93
1133909,97.03
1133741,93.93
1133742,0
1132551,613.8
1132552,613.8
1026062,0
1140261,1519.31
1140262,0
1140264,0
1140267,0
1140266,0
1140278,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
1152681,
INGH,4245.76
1133281,2496.12
1133276,713
1133275,0
PR12,759.81
1136051,12623.51
1136052,2016.86
ZZZ-100,0
ZZZ-101,0
ZZZ-102,0
ZZZ-103,0
ZZZ-104,0
1115485,17.98
1115542,17.98
1115486,314.65
1130519,5053
1130520,5053.93
1130437,636.43
1130523,5497.85
1130734,5497.85
1130737,5497.85
1130524,5497.85
1130758,5497.85
1130759,5497.85
1130760,5497.85
1121527,5.58
1115484,10.85
1115481,194.68
1121548,230.33
1130521,3357.3
1121551,40.3
1121553,27.28
1121554,613.8
1121555,5.58
1115543,66.03
1121559,14.88
1130435,412.3
1132247,114.7
1118499,2861.61
1120136,3100
1038928,613.8
1128518,0
PR15,1025.48
HT15,2098.39
1120668,932.48
1120613,248
1120873,1614.48
1120617,372
1121569,20.15
1120614,96.1
1121570,48.05
1120616,45.88
1122522,15.5
1120669,10.85
1120615,27.9
1126545,25.73
1126543,12.4
1122520,1430.65
1121568,119.35
1128163,0
1122446,93
1122447,62
1122518,111.6
1122519,476.78
1121694,19076.78
1115485,17.98
1115542,17.98
1115486,314.65
1130518,0
1130437,636.43
1130522,0
1121527,5.58
1115484,10.85
1115481,194.68
1121548,230.33
1130521,3357.3
1121551,40.3
1121553,27.28
1121554,613.8
1121555,5.58
1115543,66.03
1121559,14.88
1130435,412.3
1132247,114.7
1118499,2861.61
1120136,3100
1038928,613.8
1128518,0
PR15,1025.48
HT15,2098.39
1120668,932.48
1120613,248
1120873,1614.48
1120617,372
1121569,20.15
1120614,96.1
1121570,48.05
1120616,45.88
1122522,15.5
1120669,10.85
1120615,27.9
1126545,25.73
1126543,12.4
1122520,1430.65
1121568,119.35
1128163,0
1122446,244.9
1122447,95.48
1122518,166.78
1122519,476.78
1121694,19076.78
1045299,450
1045153,15030
1045153B,15030
1045295,3540
1076003,540
1045180,720
1045171,150
1045307,180
1045309,300
1045204,930
1045302,600
1045303,510
1045589,30
1045300,1260
1043570,8584
1045166,660
1045167,150
1045181,90
1045178,1140
1067047,131
1045150,1890
1070249,1257
1045168,360
1105663,4410
1070252,2469
1105664,2469
1105665,2687
1084499,2399
1084502,2498
1084504,2423
1084497,8
1080250,360
1101071,139
1045200,10050
1045306,900
1045590,30
1045175,450
1045587,681
1045296,210
1084485,10230
1084485B,10230
1055806,6587
1045183,390
1105660,38
1105615,6271
1124207,0
1054951,13380
1054951B,13380
1054773,476
1054870,944
1054872,782
1054772,206
1054774,28373
1054774B,28373
1054871,253
1054875,202
1070135,5
1054868,1079
1054775,1223
1054876,326
1054869,269
1054874,178
1054873,
1045588,30
1045170,2430
1045298,1140
1045163,810
1045197,990
1045198,900
1106251,19760
1106251B,19760
1045196,390
1105659,420
1035443,90
1029330,90
1045174,330
1070259,9
1045304,9
1045201,12600
1045151,9900
1058376,465
1045149,1290
1045403,30
1029360,37
1051801,2250
1045152B,17370
1070248,29099
1070248B,29099
1045310,780
1055430,4390
1045311,1110
1064699,1110
1045308,30
1045176,660
1045177,210
1045204,930
1045203,720
1045164,60
1105617,270
1045202,360
1045169,270
1060747,272
1045586,540
1045154,570
1045165,180
1045173,90
1045312,105
1075637,105
332113,599
ZZZ-100,0
1117283,0
1117283B,0
1040390,0
1040370,0
1040372,0
1044750,0
1045172,0
1045301,0
1053716,0
1054670,0
1070250,0
1070251,0
1071789,0
1080901,0
1101464,0
1112813,0
1112814,0
1113030,0
1115041,0
1120671,0
1121867,0
1121888,0
1122270,0
1122838,0
1124469,0
1124470,0
1136584,0
1045151B,9900
1045200B,10050
1045201B,12600
622038,0
1074629,0
1074627,0
HC001,
70530,25
HC002,
HC004,36
H-G-314001,
HC-M-OA,126
HC011,
HC009,
HC008,
HC-OX-2,
HC-NC08460,
HC007,15
HC-CL12,60
1065775,
332113,1300
HC010,11
HC-CS04,20
AHSG-H-F15,
HC012,
R1038831,600
P060002,500
HC-M07521,160
GH-RST-S014,
HC-OM81620,48
HC014,40
P0600003,615
1024487,9161
1141656,0
1141655,0
1093600,2082
1093599,1855
1093604,0
1093603,0
1093605,0
1093606,0
1141653,0
1093608,3420
1024489,703
1024476,322
1024333,491
1024331,1677
1024482,465
1024497,10711
1025463,214
1024473,226
1024466,1522
1093602,1177
1093601,942
1024437,203
1024496,20986
1024481,14062
1024478,3102
1024477L,4753
1093607,6705
1024442,1784
1052624,55
1033550,16321
1093609,16871
1024472,0
1024467,0
1093611,0
1093612,0
1093613,0
1093614,0
1093615,0
1093616,0
1093617,0
1093648,0
1093650,3323
1116182,0
1116184,0
1122392,1404
1124503,0
1124504,0
1124505,0
1130723,0
1141828,0
1079310,1120
1091148,10882
1091149,10764
1091147,11628
1091168,561
1091169,545
1091150,577
1091173,654
1091175,642
1091171,642
1091721,13386
1091720,16105
1091724,121
1091723,129
1091177,145
1091199,83
1091687,6964
1091719,461
1091718,446
1091725,0
1054921,27253
1054922,2845
1053279,233
1054948,106
1054949,9
1055426,673
1055427,619
1055428,55
1054924,1321
1054925,208
1055429,47
1054947,949
1054950,10
1053280,267
1117444,234.36
1117454,197.78
1117455,3386.13
1124158,261.95
1114520,2250.6
1134159,2024.3
1134160,562.65
1134161,1488
1117406,159.03
1134162,159.03
1134163,0
1134164,616.28
1117453,0
1134165,0
1117450,6021.75
1134166,6021.75
1117451,723.85
1134167,723.85
1134168,14394.23
1134169,3100
1117452,188.48
1134170,188.48
1139554,2232.93
1139555,17860.65
1139556,13757.8
1113340,0
1119823,12400
1139418,3188.35
1078754,4992
1078755,6048
1078756,5616
1078757,4320
1076592,14256
P1274,6240
P1336,6720
P1337,6240
P1344,4800
P1304R,9440
P1388,7136
P1379,5350.4
1078925,16231.68
1078926,16231.68
1076333,34400
1076334,34400
1075969,18035.2
1073622,6768
1075970,6768
1075973,7056
P1736R,20640
P1133,1728
P1170,1497.6
1113310,9099.2
1113311,9099.2
1099515,25440
1094110,7200
1094111,7200
P1586,8800
P1587,8800
1075383,12000
1081984,8400
1081515,8400
1081517,8400
1081518,8400
1081519,8400
1081985,8400
1081516,8400
1082474,8400
1122672,9457.92
1062049,9600
1062050,9600
1062051,9600
1019531,4800
1019532,8960
1070518,0
1070520,0
H5871,9600
H5875,13440
H5874,9600
H5873,11520
H5872,12160
1019530,10240
1019531,4480
1019532,8960
1019529,5440
936,8529.28
953,5531.2
954A,1098.24
1116888,2528
1119823,12800
1122694,645.44
1078758,8384
1078752,4032
1069622,6624
P1694,8960
1078753,4032
P1716,4480
1048415,63968
1040810,31968
1041200,2374.4
1040805,928
1040806,1312
1040807,992
P1259,4608
P1301,1152
P1295,5141
P1300,1152
P1267,11424
P1303,2240
P1263,8554
P1302,1728
P1328-60,5760
P1390,774
P1365,0
1075232,0
1075233,818
1016360,816
T716,270
1016361,144
8179,449
8051,372
PG-TEN30,211
8052,547
PG-TEN20,634
1097360,7122
1117858,35680
1074689,2394
1075294,3280
1075397,3827
1075398,4401
1075399,4401
1075400,4020
1075401,4585
1075402,5120
1050795,3456
1019280,2763
362435,0
1104765,242
VCF-048,396
1111076,5658
1016309,0
1024582,0
1043937,0
1053194,0
1055371,0
1082652,0
1082653,0
1071285,0
P1343,6480
1078921,
19777,29750
19776,19125
19779,19125
19696,14450
19711,14450
19703,4800
19704,4800
19698,1280
19725,1200
19726,1200
19761,880
19730,800
19731,800
19763,800
19724,640
19734,640
19735,640
19736,640
19762,640
19795,640
19697,640
19717,640
19745,640
19706,600
19728,600
19766,600
19699,600
19700,600
19719,600
19720,600
19721,600
19722,600
19769,600
19796,600
19799,600
19760,560
19939,560
19702,560
19707,560
19729,560
19733,560
19768,560
19701,400
19770,400
19739,320
19740,320
19741,320
19743,320
37310,350
37347,1500
37300,2000
29028,9500
ZZZ-100,1500
ZZZ-101,500
ZZZ-102,500
ZZZ-103,1500
ZZZ-104,800
ZZZZ-0023,0
ZZZ-021,0
ZZZ-010,0
ZZZZ-0031,0
36821,2000
36850,60
36851,120
36852,600
36853,1800
36855,80
36856,130
36857,1000
36858,2000
36920,850
36931,1100
36944,21000
36950,2000
36995,1700
37296,1650
37297,3800
37299,1500
37301,2700
37302,4200
37303,800
37304,1000
37305,1000
37332,6200
37334,720
37335,800
37343,800
37344,2000
37357,1850
37457,28000
37458,28000
38140,20000
38808,8000
38809,660
38810,1080
38811,9000
38812,720
38813,1200
38814,35
38815,70
38816,500
38822,360
38823,1000
38825,1000
38828,2000
38837,1500
38839,2800
38840,1000
38841,500
38842,800
38843,330
38844,330
38856,70
38857,110
38858,350
38859,2500
38878,3000
38880,650
25101,46500
25927,3500
61289,280
62817,1000
62818,1000
62823,1500
62824,1500
62825,1500
62826,1500
62827,550
62905,
63420,3500
63421,3500
63422,3500
63423,3500
63424,3500
63465,1200
63466,1200
63467,1400
63468,1400
63469,1400
63470,1200
63471,1200
63472,1200
63473,1200
63475,170
63494,700
63523,2800
63524,2800
63525,2800
63550,1200
63551,1200
63552,1200
63558,1200
63560,1200
63561,1200
63562,1200
63564,250
63565,800
63566,1200
63810,1200
63811,1200
63812,1200
63813,1200
63814,900
63825,2800
63826,2800
63840,1500
63841,1500
63842,600
63861,1200
63862,1200
63863,1200
63875,2800
63876,2800
63888,250
63889,250
64206,2500
64213,1200
64214,1200
64215,1200
64216,600
64219,800
19861,76500
19696,14450
19858,9350
19862,1700
19698,1280
19725,1200
19761,880
19730,800
19763,800
19724,640
19762,640
19697,640
19717,640
19745,640
19706,640
19728,600
19706,600
19699,600
19700,600
19769,600
19760,560
19797,560
19939,560
19702,560
19707,560
19729,560
19733,560
19701,400
19770,400
19863,350
19864,350
19865,350
19300,8418
19516,1830
19517,1403
19518,51000
19519,1403
19520,13157
19521,11342
19522,183
19523,3111
19524,53665
19525,610
19528,610
19529,8418
19530,34610
19531,29230
19532,427
19535,2562
19538,2562
19539,1037
19540,7320
19541,4514
19542,15555
19544,7320
19546,7320
19547,7320
19549,1403
19550,7320
19584,57800
19585,51000
19587,2562
19590,183
19593,1830
19594,1830
19595,15555
19657,15555
19658,7320
19659,4514
19686,57800
19687,51000
19689,2013
R241-7025,366
R241-7038,488
R241-7054,122
R261-7146,183
R360-775,610
Z2019,61
Z2021,61
Z2032,61
RM-24933,320
19600,102000
19602,2806
19603,1586
19605,22684
19606,29230
19607,2013
19608,2623
19609,2440
19610,3233
19611,4636
19613,1891
19614,1464
19615,1525
19616,1403
19619,1525
19620,25601
19621,1403
19622,1525
19623,77775
19624,14324
19626,2135
19627,40573
19632,1708
19633,1708
19635,1830
19636,1830
19637,15425
19638,3111
19639,3111
19640,1281
19641,3111
19642,6710
19643,1464
19644,1464
19645,1403
19646,1403
19649,1891
19650,1403
19651,1281
19652,18536
19653,87691
19688,10953
19771,1403
19772,1403
19786,1403
19787,1403
19788,1403
19789,1403
19790,1403
19791,1403
19792,1403
19793,5612
19794,1403
19803,29230
19938,20157
27918,40575
27935,6800
27936,6200
27937,7750
27939,1525
27940,2135
27941,1525
27942,1525
22321,1000
629052,500
70568,7000
22374,15000
22371,200
22373,500
70388,1250